label,population,country,x,y,imageURL,player,rating,imageplayer
"""Ascent"",""Venice"",""Italy"",12.20,45.26,""https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/Loading_Screen_Ascent.webp"",QutionerX, 1.32,"https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/qutionerx.png""
"""Bind"",""Rabat"",""Morocco"",-6.51,34.20,""https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/Loading_Screen_Bind.webp"", Sayaplayer, 1.30,"https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/sayaplayer.png""
"""Breeze"","""",""The Bermuda Triangle"",-71.16,26.18,""https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/Loading_Screen_Breeze.webp"",No hay:c,0"
"""Fracture"",""Santa Fe"",""United States of America"",-106.133,35.8,""https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/Loading_Screen_Fracture.webp"",Ethan, 1.24,"https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/ethan.png""
"""Haven"",""Thimphu"",""Buthan"",89.38,27.28,""https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/Loading_Screen_Haven.webp"",Leo, 1.28,"https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/leo.png""
"""Icebox"",""Bennett Island"",""Russia"",149.30,76.44,""https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/Loading_Screen_Icebox.webp"",Cloud, 1.20,"https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/cloud.png""
"""Pearl"",""Lisbon"",""Portugal"",-9.133,38.7,""https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/Loading_Screen_Pearl.webp"", K1Ngg, 1.33,"https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/kingg.png""
"""Split"",""Tokyo"",""Japan"",139.41,35.41,""https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/Loading_Screen_Split.webp"", Leo, 1.33,"https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/leo.png""
"""Sunset"",""Los Angeles"",""United States of America"",-118.12,34.2,""https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/Loading_Screen_Sunset.webp"", No hay:c, 0"
"""Lotus"",""Western Ghats"",""India"",74.88,14.118,""https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/Loading_Screen_Lotus.webp"",SugarZ3ro, 1.25,"https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/sugarzero.png""
"""Beauchef"",""Santiago"",""Chile"",-70.39, -33.27,""https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/buchef.jpg"", JunTierSS y Kim Jong Un, 7.0,"https://www.visualizaciondedatos.cl/wp-content/uploads/2024/11/tierss.jpeg""
